编号,句子,实体1a,实体1b
2859,俄新社援引该文件报道说，阿联酋去年5月曾得到美国军方消息，称该国的YahSat-1B卫星与俄罗斯的“光线”卫星发生了危险靠近且存在相撞风险。美方称，两颗卫星一度以140米至9.65千米的间距相伴飞行。,YahSat-1B卫星,俄罗斯的“光线”卫星
2861,YahSat-1B为阿联酋军民两用通信卫星，于2012年4月由俄美合资的国际发射服务公司用“质子-M”运载火箭发射升空。俄罗斯的“光线”中继卫星于2014年9月进入太空。,YahSat-1B,阿联酋军民两用通信卫星
2875,2月1日，在美国华盛顿，美国国务卿蓬佩奥在国务院记者会上讲话。 美国国务院2月1日宣布，美国将于2日起暂停履行《中导条约》义务，启动退约程序。,美国,《中导条约》
2876,新华社华盛顿2月1日电(记者刘品然　刘晨)美国国务院2月1日宣布，美国将于2日起暂停履行《中导条约》义务，启动退约程序。,美国,《中导条约》
2877,美国国务卿蓬佩奥当天在国务院记者会上说，由于俄罗斯长期违反《中导条约》的规定，美方将暂停履行条约义务，启动为期6个月的退约程序。,俄罗斯,《中导条约》
2879,美国总统特朗普当天也发表声明称，长期以来，俄罗斯秘密研发和部署条约限制的导弹系统，导致美国做出这一决定。美国将着手开发军事回应的选项，与北约和其他盟友展开合作，避免俄方因部署违约导弹系统而获得军事上的优势。,俄罗斯,导弹系统
2881,俄罗斯一直以来拒绝接受美国有关俄罗斯违约的指控。近年来，美俄两国互相指责对方违约。美国指责俄罗斯部署射程受条约限制的9M729型(美方称SSC-8)陆基巡航导弹;俄罗斯则怀疑美国在东欧部署的陆基“宙斯盾”反导系统具备发射巡航导弹的能力。,俄罗斯,9M729型(美方称SSC-8)陆基巡航导弹
2882,俄罗斯军方1月23日对外展示了9M729型巡航导弹，并表示该导弹的实际射程为480公里左右，并不违反《中导条约》。,俄罗斯军方,9M729型巡航导弹
2900,【环球网军事2月1日报道】乌克兰曾承诺向美国交付一辆“堡垒”坦克，而如今看来美国是收不到这款乌克兰坦克了，相关购销计划于去年春公布。,乌克兰,“堡垒”坦克
2902,购销合同原本规定，马雷舍夫工厂向乌克兰特种设备出口公司出售一辆“堡垒”坦克。基辅此前表示，希望“堡垒”坦克能够对扩大乌美军事技术合作有所帮助。自相关协议签署以来，坦克价格已增长三倍，但即便如此，马雷舍夫工厂仍因破产而无力建造。,马雷舍夫工厂,“堡垒”坦克
2903,2018年3月初，乌克兰“军工信使”新闻社曾报道，美国政府已经与乌克兰国防进出口公司达成协议，将购买一辆乌克兰T-84“堡垒M”主战坦克。报道称，乌克兰国防进出口公司的消息人士表示，这笔交易已经敲定，美国方面将会研究乌克兰的军工技术，并探讨与乌克兰展开合作的可能性。,美国政府,乌克兰T-84“堡垒M”主战坦克
2904,据报道，这已经不是乌克兰第一次向美国出售坦克，2003年，美国政府购买了4辆T-80UD坦克，这些车辆在2003年12月-2004年1月间，在美国陆军阿伯丁试验场进行了测试。,美国政府,4辆T-80UD坦克
2920,【环球网军事2月1日报道】据俄罗斯卫星新闻通讯社1月31日报道，俄罗斯地缘政治问题科学院院长康斯坦丁·西夫科夫认为，乌克兰没有科技实力制造“海王星”导弹以及其它“有能力深入打击俄罗斯”的武器。,乌克兰,“海王星”导弹
2921,乌克兰军队、军转民和裁军研究中心副主任米哈伊尔·萨姆斯曾呼吁制造这样的武器。他认为，亚速海和黑海局势对乌克兰“极其不利”，因此乌克兰应该凭借“海王星”导弹和防空反导的发展向着对自己有利的方向平衡实力。,乌克兰军队,“海王星”导弹
2923,“海王星”导弹是乌克兰首枚巡航导弹，可舰载、地面和空中发射。根据导弹制造者的思路，这枚导弹将可以击中280公里范围内的海底和海岸目标。该导弹是乌克兰光线设计局在俄罗斯天王星X-35导弹基础上研制的武器，2018年年末乌克兰总统波罗申科宣布很快将开展国家导弹试验。,乌克兰,“海王星”导弹
2925,【环球网军事2月1日报道】印度国防部1月31日发布消息称称，印度政府和印度Goa Shipyard国家造船厂签订了建造两艘俄罗斯11356型护卫舰的合同。,印度Goa Shipyard国家造船厂,两艘俄罗斯11356型护卫舰
2926,印度国防部报道称签订了建造两艘护卫舰的合同，计划在2026年6月和12月交付。预计这两艘护卫舰将被装备上俄印合作的布拉莫斯反舰巡航导弹。,印度国防部,两艘护卫舰
2927,俄罗斯总统普京和印度总理莫迪在谈判结束后签署了为印度海军生产11356型系列护卫舰的政府间协议，此后俄罗斯国家技术集团总经理谢尔盖·切梅佐夫表示，两艘护卫舰将在俄罗斯生产，其余的则在印度造船厂生产。,印度海军,11356型系列护卫舰
2928,该型护卫舰最初是为俄罗斯黑海舰队所建，但是由于没有此前乌克兰提供的电力装置而暂停建造。,俄罗斯黑海舰队,护卫舰
2930,俄军装备的“伊斯坎德尔”导弹,俄军,“伊斯坎德尔”导弹
2933,罗戈夫指出，如果美国退出《中导条约》，俄罗斯目前还不能对美国在东欧部署导弹做出对称回应。他表示，“我们不能建立对美国的对称威胁。我不相信古巴或者尼加拉瓜会同意俄罗斯在其境内部署导弹。近期委内瑞拉发生的事件表明，在西半球部署导弹的方案难以实现。”,美国,《中导条约》
2974,【环球时报报道 记者 马俊】中国国家航天局1月31日宣布，在挺过最低温度冷至零下190摄氏度的漫长月夜后，月球背面的玉兔二号巡视器和嫦娥四号着陆器先后接受光照自主唤醒，继续开始科学探测。,玉兔二号巡视器和嫦娥四号着陆器,科学探测
2990,报道宣称，中国海警是“世界最大规模的海上执法力量”，拥有225艘500吨以上的近海舰艇和1050艘近岸执法船，舰艇总数为1275艘，超过中国所有邻国的军舰之和。而且中国海警吸取美国海岸警卫队、日本海上保安厅公务船的经验，淘汰了服役年代久远、能力较弱的巡逻艇，新入役的海警船装备有舰载直升机、海上拦截快艇、小型火炮、强力水炮，具有时间更长的续航能力和更长距离的远航能力。“同时中国海上民兵也在逐渐成长，装备更加现代化，拥有84艘大型船只，可以执行水炮喷射和撞击任务”。,中国海警,近海舰艇
2992,美国海岸警卫队拥有240艘大中型巡逻舰，海上安全委员会旗下还有超过120艘后勤、货运和支援船。但报道认为，这些船只集中在美国水域，远离国际争端。埃里克森称，美国的海洋利益是全球化的，美国海军分散在世界各地，其中许多舰艇受任务、地理和时间因素制约，长期远离东亚海域。而中国的海洋诉求是区域性的，海军、海警和海上民兵集中于中国近海，受到中国陆基、空基导弹的保护，距离争议海域的补给线也比较短。他主张的解决方案是，美国海军在继续扩充规模的同时，必须考虑到中国海上力量的数量优势，应鼓励盟国填补美海军规模的不足。,美国海岸警卫队,240艘大中型巡逻舰
2998,【环球时报综合报道】电磁轨道炮被视为“划时代”的新概念武器，美国情报机构预测，中国可能在2025年就将实战部署这种武器，研制进度落后的美军备感焦虑。,中国,电磁轨道炮
3000,美国海军的电磁轨道炮,美国海军,电磁轨道炮
3001,美情报机构认为，中国海军1月实施了“全球最大威力的舰炮射击试验”。美国CNBC电视台称，中国对电磁轨道炮的研发于2011年曝光，2014年开展试验，2017年底成功实现舰载并启动海上试验，预计到2023年将结束试验，并在2025年进行实战部署。美情报机构估算，中国电磁轨道炮的炮弹费用约为2.5万-5万美元，而美军“战斧”巡航导弹的单价为140万美元。,中国,电磁轨道炮
3002,报道称，美海军正在加紧研发电磁轨道炮，但尚未进入实战部署阶段，日本防卫省也以“岛屿防卫”为由推进研发。澳大利亚广播公司称，美国从2005年就开始研制电磁轨道炮。2010年12月，美国海军的第一门电磁轨道炮成功试射。但此后它的研制进度并不顺利，2018年甚至传出项目可能下马的消息。日本防卫省防卫装备厅2018年8月也公布了日本的电磁轨道炮项目，计划从2016财年到2021财年投入10亿日元（约为6160万元人民币）展开研制。▲ （魏云峰）,美海军,电磁轨道炮
3031,在空军首家装备苏-35战机的空军航空兵某旅机场，我们正赶上部队组织的一场跨昼夜飞行训练。从飞行指挥塔台训练计划上看到，这天既有二对二、一对一的对抗空战，也有编队对地突防突击，是新时代空军练兵备战的“家常便饭”。,空军航空兵某旅,苏-35战机
3032,苏-35战机对地面目标实施火力打击。,苏-35战机,火力打击
3041,就是在去年春节前夕，该旅飞行员驾驶苏-35战机从这里起飞，飞赴南海参加联合战斗巡航任务。消息一出，迅速刷爆朋友圈。此时，距离旅装备苏-35战机本场首飞还不到一年。,苏-35战机,联合战斗巡航任务
3042,去年5月11日，该旅苏-35战机首次与轰-6k战机编队飞越巴士海峡，实现了绕岛巡航模式的新突破，彰显了空军体系作战能力的新提升。,苏-35战机,巴士海峡
3062,【环球网军事1月31日报道】据俄罗斯《消息报》1月30日报道，时隔30年后，2019年俄罗斯国防部将恢复北极空域巡逻，担负战斗值班任务的将是世界上飞行速度最快的飞机之——“米格31BM”截击机。,“米格31BM”截击机,北极空域
3064,俄国防部向《消息报》表示，2019年年底前将有两支米格-31BM中队进入战斗值班。2018年举行了一系列北极巡逻飞行战术演习。在北极试用米格-31BM截击机的结果是成功的。演习期间，飞机在空中停留5个小时以及更长时间，飞行距离超过4000公里。飞行过程中进行了空中加油，在这片荒凉之地巡逻，没有空中加油是不行的。,两支米格-31BM中队,北极
3065,演练任务包括“猎捕”潜在敌人的轰炸机以及在北冰洋地区开展补充侦查。此外，米格-31BM还参加了“东方-2018”演习。当时飞行员的任务是搜寻一组舰船，飞机飞行700公里进入侦察区。,米格-31BM,“东方-2018”演习
3067,“米格31-BM小队还将为轰炸机进行护航，例如飞往阿拉斯加的轰炸机。”专家称，“北方舰队目前执行多项战略任务，需要高速战斗机的保护。”,米格31-BM小队,轰炸机
3068,报道称，将有两支航空中队来监控北极地区。西部由“北方”联合战略指挥部飞行员，即部署在摩尔曼斯克州蒙切戈尔斯克机场的第98独立混合航空团来保护，东部安全由部署在堪察加边疆区堪察加彼得罗巴甫洛夫斯克市埃利佐沃机场的第317独立混合航空团负责。目前，大量米格-31BM处于存放状态，如有需要其数量可快速扩大。,摩尔曼斯克州蒙切戈尔斯克机场,第98独立混合航空团
3069,俄罗斯功勋军事飞行员弗拉基米尔·波波夫少将向《消息报》表示，选择米格-31并非偶然。它是一种远程截击机，专门为保卫国家边境和北部地区研发。,米格-31,远程截击机
3071,米格-31全天候超音速远程双座截击机是苏联首款第四代战机。研发米格-31是为二十四小时全天候拦截任何高度的空中目标。如果不进行空中加油，米格-31可飞行3000公里，最大飞行高度为20.5千米，平均飞行时间为3.3小时。由4架米格-31组成的飞行小组可监控800-900公里的空域。,米格-31全天候超音速远程双座截击机,苏联首款第四代战机
3073,【环球网军事1月31日报道】俄罗斯卫星通讯社1月30日报道，伊尔库茨克航空厂代表安德烈·巴尔丘戈夫表示，今年年底前将完成对苏-30SM多用途战斗机改造型的所有试验。,俄罗斯,苏-30SM多用途战斗机
3075,经过伊尔库茨克航空厂的改造后，苏-30SM将能够识别更远距离的空中目标，并将配备可打击数百公里外陆地或海上目标的高精度武器。,伊尔库茨克航空厂,苏-30SM
3096,“美国推动对中俄新冷战让军火商兴高采烈”，韩联社30日称，随着美国政府各部门频频渲染“中俄威胁”，美国军工企业今年可能迎来业绩丰年。以生产F-35隐形战机和导弹防御系统主要装备的洛克希德·马丁公司为例，其2018年的营业额可能高达1300亿美元，远超2017年的1050亿美元。,洛克希德·马丁公司,F-35隐形战机
3105,【环球时报综合报道】印度《经济时报》30日称，印度国防部决心着手解决印度先进潜艇长期没有重型鱼雷的问题，这一尴尬情况已经持续了多年。据称，本世纪初印度从法国采购“鲉鱼”级常规潜艇时，并未签署引进配套重型鱼雷的协议。印度曾计划从意大利采购“黑鲨”鱼雷，但因受贿丑闻被迫放弃，此后采购项目一拖再拖。如今“鲉鱼”级潜艇与国产核潜艇已交付印度海军，但它们至今没有合适鱼雷。▲,法国,“鲉鱼”级潜艇与国产核潜艇
3115,报道称，美军各大军种纷纷布局北极。美国海军“杜鲁门”号航母战斗群近来在北极圈参加北约演习，“这是美国航母30年来首次在北极部署”。同时，北美防空司令部指挥下的美加部队持续在进行航空航天和海上预警。“北方司令部一直在警惕地观望北极，在阿拉斯加苛刻的荒野中保持存在，并监视世界上一些最令人不寒而栗的海岸线”。,美国海军“杜鲁门”号航母战斗群,北约演习
3117,当前美国空军正对部署在那里的50多部雷达进行现代化升级，它们的探测范围覆盖北美上空，保护美国和加拿大免受导弹和轰炸机袭击。此外，北极基地还是美国全球战略空运系统的关键枢纽，从这里出发的飞机能快速部署到北半球的任何位置。,美国空军,50多部雷达
3118,同时，美国陆军继续为寒冷天气行动进行训练并发展装备，计划采购能在零下45度运作的“联合全天候全地形支持车”。美军还在运作古老的极地生存学校，并保留使用独特的滑雪飞机降落在冰面上的能力。美国海岸警卫队也频繁在北极展开训练，并计划建造更多的破冰船以提升北极活动能力。,美国海岸警卫队,破冰船
3121,装备“宙斯盾”系统的日本海上自卫队驱逐舰,日本海上自卫队驱逐舰,“宙斯盾”系统
3122,【环球时报报道 特约记者 田聿】为拦截中俄新发展的高超音速武器，美国不断加强在太平洋上的导弹预警能力。据美国《防务新闻》29日报道，美国政府一结束“关门”状态，就批准了对日出口两套宙斯盾反导系统的军售项目。此前美国刚宣布准备在日本部署能监视5000公里范围的反导预警雷达，再加上日本和驻日美军现有的各型反导系统，让日本成为美国的“反导防波堤坝”。,美国,反导预警雷达
3123,英国《简氏国际防务评论》认为，之所以美国要将针对洲际导弹的新一代远程预警雷达部署到日本，就是为应对中俄新发展的高超音速武器。报道称，美国要防堵对手高超音速武器的攻击，就必须建立更绵密、更多元的反导作战体系。由于高超音速武器将极大压缩美国反导系统的反应时间，难以预测的飞行轨迹更增加了拦截难度，为此五角大楼必须想办法争取更早发现导弹、组织更多波次的拦截。,美国,新一代远程预警雷达
3124,目前日美已经共享美国早期预警卫星、日本陆基雷达、预警机等搜集的导弹信息。在日本部署的新一代反导雷达，不但能第一时间获取从亚洲腹地升空的导弹信息，还可以将目标情报通过高速数据链传输给部署在日本的宙斯盾战舰或陆基宙斯盾反导基地，发动第一波次拦截。同时相关导弹信息由美军海基X波段雷达持续监控，最后由阿拉斯加的陆基中段反导系统再次进行拦截。这正是美国赖以抗衡高超音速武器的“法宝”。,美国,新一代反导雷达
3127,资料图：美军部署的反导雷达系统,美军,反导雷达系统
3128,【环球时报报道 特约记者 田聿】为拦截中俄新发展的高超音速武器，美国不断加强在太平洋上的导弹预警能力。据美国《防务新闻》29日报道，美国政府一结束“关门”状态，就批准了对日出口两套宙斯盾反导系统的军售项目。此前美国刚宣布准备在日本部署能监视5000公里范围的反导预警雷达，再加上日本和驻日美军现有的各型反导系统，让日本成为美国的“反导防波堤坝”。,美国,反导预警雷达
3129,《防务新闻》称，美国国防安全合作局29日发布公告，同意日本购买两套陆基宙斯盾反导系统。这是自美国政府结束“关门危机”以来首宗政府间对外军售项目，总金额约21.5亿美元，预计2023年服役。,日本,两套陆基宙斯盾反导系统
3130,美日此前判断，日本与亚洲大陆相对较近，不太可能遭受洲际导弹袭击，因此部署在日本的预警雷达主要针对中近程弹道导弹。美国已经在日本本土配置了两部X波段的AN/SPY-2固态多功能相控阵雷达，它是近年在东亚惹出风波的“萨德”反导系统的核心，针对中近程弹道导弹相对角度变化大的特点进行了专门优化。日本航空自卫队也装备4座固定式FPS-5雷达，探测距离可达1000公里，在一定功率下能探测到3000公里外的目标。不过，该雷达存在精度较差的问题，特别目标识别能力不高，容易发生虚警。,美国,AN/SPY-2固态多功能相控阵雷达
3131,此外，自卫队与驻日美军还装备有不少“爱国者-3”反导拦截系统，它们配备AN/MPQ-53或AN/MPQ-65相控阵雷达，主要用于对付战术弹道导弹、巡航导弹和先进飞机。“爱国者-3”属于末段拦截系统，探测范围更是有限。,驻日美军,“爱国者-3”反导拦截系统
3133,洛克希德马丁公司研制的远程识别雷达（LRDR）,洛克希德马丁公司,远程识别雷达（LRDR）
3134,【环球时报报道 特约记者 田聿】为拦截中俄新发展的高超音速武器，美国不断加强在太平洋上的导弹预警能力。据美国《防务新闻》29日报道，美国政府一结束“关门”状态，就批准了对日出口两套宙斯盾反导系统的军售项目。此前美国刚宣布准备在日本部署能监视5000公里范围的反导预警雷达，再加上日本和驻日美军现有的各型反导系统，让日本成为美国的“反导防波堤坝”。,美国,反导预警雷达
3135,《防务新闻》称，美国国防安全合作局29日发布公告，同意日本购买两套陆基宙斯盾反导系统。这是自美国政府结束“关门危机”以来首宗政府间对外军售项目，总金额约21.5亿美元，预计2023年服役。,日本,两套陆基宙斯盾反导系统
3136,据介绍，日本这次采购的陆基宙斯盾系统，比美国在罗马尼亚、波兰部署的同类产品更为先进。雷达是该反导系统的核心，美国在欧洲部署的是宙斯盾驱逐舰上使用的AN/SPY-1相控阵雷达，而日本相中了洛·马公司新研制的远程识别雷达（LRDR），这是专为美国陆基中段拦截系统设计的新型雷达，美国导弹防御局计划把它部署到阿拉斯加，探测朝鲜或俄罗斯射来的洲际导弹。日本政府宣称，只需要两套陆基宙斯盾系统就能保护全国，由此推算，该雷达的有效探测距离至少超过1000公里。,美国,AN/SPY-1相控阵雷达
3137,由于没有舰体、电力及空间的限制，陆基宙斯盾系统在装备及武器配置上有很大的灵活性，除了不能机动部署外，作战性能完全超越海上自卫队和驻日美军装备的宙斯盾驱逐舰。不过宙斯盾战舰战时可以前沿部署，一定程度上弥补了探测距离不足的问题。,驻日美军,宙斯盾驱逐舰
3138,日本《丸》杂志称，因为没有空间限制，陆基宙斯盾系统可配备的拦截导弹可以及时补充，具备近乎无限的持续作战能力。再加上美日正在为宙斯盾反导系统研制“标准-3 Block 2A”拦截导弹，使之具备拦截洲际导弹的能力。依托宙斯盾系统强大的探测能力，日本除了充当“不沉航母”外，还将成为导弹威胁面前的“不沉宙斯盾舰”，在美国心目中的地位将进一步抬升。,陆基宙斯盾系统,拦截导弹
3139,如果说陆基宙斯盾反导系统是日本监视亚洲大陆的新一代预警雷达中坚力量，那么五角大楼准备部署在日本的“国土防御雷达”则堪称“核心大将”。这种顶级雷达作用距离超过5000公里，而且探测精度极高，此前仅计划部署于美国本土、夏威夷和关岛等地。日本《读卖新闻》1月28日称，如果日美达成相关协议，这将是“国土防御雷达”首次进驻海外。报道称，除了可以监视和防御西太平洋沿岸国家发射的弹道导弹，它还可用来监控反卫星武器和空间碎片等。该雷达一旦落户日本，将显著增加美国侦测中俄战略导弹的能力。,五角大楼,“国土防御雷达”
3167,【环球网军事1月30日报道】据新加坡《联合早报》网站1月27日报道，中国东风-26型中远程导弹的发射场面首次亮相。值得注意的是，这次展示的东风-26导弹是采用高超音速滑翔技术的常规打击\反舰型导弹，其多锥体高超音速滑翔弹头的具体外形也是首次公布。这也是世界上第一种服役的采用助推-滑翔技术的高超音速中远程导弹。,中国,东风-26型中远程导弹
3168,《联合早报》报道称，在上周三播出的电视节目中，首次播放了中原某地装备东风-26中远程导弹某部的日常训练和试射导弹的镜头。这表明，除了在中国西部部署的东-26导弹部队外，中国拥有了第二个具备实战能力的东-26导弹部队。,中国西部,东-26导弹部队
3172,【环球网军事1月30日报道】美国《国家利益》杂志1月29日刊文称，俄罗斯正在研制新型喷气式隐形无人机“猎人”，且该项目有望获得成功。,俄罗斯,新型喷气式隐形无人机“猎人”
3174,《国家利益》指出，2007年，米高扬设计局展示了“鳐鱼”喷气式无人机原型机，但后来项目被停。制造新武器需要新设备，也需要在叙利亚获得的经验。专家表示，俄空天军在叙利亚的成功主要依靠有人驾驶设备，无人机精度不够高。,米高扬设计局,“鳐鱼”喷气式无人机原型机
3179,他还说：“我们认为，今年俄罗斯将继续全面实现武装力量的现代化，特别是在防空设备、潜艇和无线电电子战设备方面取得进展。”科茨重申美方的指责称，俄罗斯制造的9М729型陆基巡航导弹违反了《中导条约》。,9М729型陆基巡航导弹,《中导条约》
3182,【环球网军事1月30日报道】俄罗斯卫星通讯社1月30日报道，据五角大楼国防安全合作局发布消息称，美国国务院批准向日本销售总价21.5亿美元的2套“宙斯盾”反导系统。,美国国务院,2套“宙斯盾”反导系统
3216,资料图：美国“民兵”导弹配备的核弹头,美国“民兵”导弹,核弹头
3217,【环球时报驻美国特约记者 闻华 环球时报特约记者 李强】据美国《防务新闻》网站29日报道，美国新型低当量核弹头已正式投入生产，并将于今年晚些时候交付海军。分析认为，美国发展用于“三叉戟”潜射弹道导弹的低当量核弹头，可能会降低美国使用核弹头的门槛，引发更大的核危机。此外，美国庞大的新型核弹头研制计划，必然会激起核大国，特别是俄罗斯采取应对措施，导致新一轮的核军备竞赛。对于发展这种核弹头，美国国内也存在很大争议。,美国,新型低当量核弹头
3218,《防务新闻》网站在题为“特朗普的新核武器已投入生产”的报道中称，根据美国国家核安全管理局发表的声明，美国第一批生产型W76-2弹头正在得克萨斯州的潘太克斯工厂进行生产。该机构发言人说，国家核安全管理局有望完成达到初始作战能力要求的W76-2弹头生产，并在2019财年末交付海军部队。但该发言人拒绝透露弹头总数。报道称，W76-2新型弹头是海军“三叉戟”弹道导弹的W76-1弹头的改进型。美国去年发布的《核态势评估报告》提出要制造这种弹头。根据设计，该弹头(当量)小于第二次世界大战期间投放在日本广岛和长崎的核弹(大约15-20千吨TNT)。,W76-2新型弹头,“三叉戟”弹道导弹的W76-1弹头
3220,一位不愿透露姓名的专家向《环球时报》记者介绍说，美国W76系列弹头于上世纪70年代开始研制，是目前美军储量最多的核弹头。其第一种型号W76-0于1978年开始生产，主要用于装备美国的“三叉戟I”和后来的“三叉戟II”潜射弹道导弹。W76弹头只有164公斤，爆炸当量约为10万吨TNT。美国政府于2000年批准800枚弹头的延寿工作，后来增加到2000枚。2008年美国完成首批W76-1弹头升级，并于次年交付美国海军，它实际上是W76-0的翻新延寿版本。而新型的W76-2弹头降低了当量，有未经证实的消息称只有5-7千吨。,美国,W76系列弹头
3222,实际上，W76-2弹头只是美国打算研制和翻新的多种核弹头之一。美国国家核安全管理局此前发布的报告显示，美国在未来25年将研制或更新多达9种新型核弹头，以满足《核态势评估报告》的要求。这些核弹头除W76系列弹头外，还包括由空军战机投放的B61-12核航弹、用于“三叉戟II”D5潜射导弹的W88 Alt 370核弹头、用于美军下一代陆基弹道导弹的新型核弹头，以及为美国空军下一代远程巡航导弹开发的W80-4核弹头。分析认为，如此庞大的核弹头研制和更新计划，势必会刺激其他核大国，导致新一轮的核军备竞赛。此外，这也有可能影响美俄《新削减战略武器条约》的顺利实施及该条约到期后的核裁军谈判。《新削减战略武器条约》规定，美俄双方要将部署的核弹头数量削减到1550枚以内。,美国,9种新型核弹头
3224,伊朗展示的导弹武器,伊朗,导弹武器
3226,报道称，美国去年退出伊核协议，并对伊朗实施经济制裁，原因之一是伊核协议并未遏制伊朗发展弹道导弹。而一些欧洲国家近来也对伊朗导弹项目提出质疑。法国外长勒德里昂日前表示，如果对话无法让伊朗停止发展导弹项目，就准备实施对伊制裁。伊朗国防部长哈塔米29日称，“敌人说伊朗导弹项目应该被铲除，但我们一再重申，我们的导弹项目没有谈判的余地”。,伊朗,弹道导弹
3228,【环球网军事1月29日报道】被台湾寄予众望的自产“云豹”装甲车，近日又传出了“难产”的丑闻。据台湾媒体1月27日的报道，号称“云豹”系列装甲车中最强版本的30MM链炮步战车本应在去年12月24日交付，但由于得标厂商迄今未能交付，使得这款装甲车再度成为话题。,台湾,“云豹”装甲车
3230,台湾“国防部”表示，“云豹”装甲车的升级制造方案预算为45亿7千多万元新台币，包括以“最有利标”方式购置280套“动力底盘系统”。第1批30套的交付日期为去年12月24日前，台湾“国防部”要求厂商如期交货，如逾期交货则依契约计罚；迄今制造商仍未履约，至于开罚多少钱，“军备局”则不愿回答。,台湾“国防部”,280套“动力底盘系统”
3233,台湾军方在2018年10月24日确定增购284辆改进型“云豹”装甲车，其中都是装备了30毫米机关炮塔和105毫米反坦克炮的新型号。该型号使用的是美国orbital ATK公司制造的MK.44型30毫米口径链式机关炮，这种火炮具备较高的穿甲性能和精度。但美国厂商一度索价10亿新台币，转让该炮制造技术。最后台军放弃大部分核心部件在岛内生产的要求，才最终月美方达成协议。但作为一门车载火炮其价格依然不菲，据台媒的报道，“中科院”制造的炮塔每个价格5000万新台币（约合160万美元）。,台湾军方,改进型“云豹”装甲车
3240,【环球网军事1月29日报道】印度空军新闻处1月28日发布消息称，一架“美洲虎”战斗机28日上午在印度北部拘尸那揭罗市附近坠毁。,“美洲虎”战斗机,印度北部拘尸那揭罗市附近
3264,1月27日，马杜罗检阅部队，亲自参与装甲车操控、抢滩登陆等一系列军事操练。,马杜罗,部队
3310,海外网1月28日电 韩国军方日前进行反恐与严寒训练，并积极引进F-35A等军事装备。对此，朝鲜媒体28日刊文称，这违背朝韩和平与对话局面，敦促韩方停止军事训练和引进军事装备。,韩国军方,F-35A等军事装备
3313,评论指出，韩军年初起动员大量兵力进行战争演习不容忽视，这是违背朝韩走向民族和解与繁荣大潮流的危险军事行动。,韩军,战争演习
3314,韩军计划从美国引进的F-35A（韩国《中央日报》）,韩军,F-35A
3315,评论还提到，韩军日前发布《2019年-2023年国防中期计划》并增加国防预算，以及从美国接收的6架F-35A隐形战机中，有2架将于3月末抵韩等，批评韩方热衷于耗费大量资金增强军力。,韩军,6架F-35A隐形战机
3320,【环球时报综合报道】俄罗斯最新研发的“无人机杀手”——“食肉动物”无人机，近日首次进行了武器系统试验。据俄罗斯塔斯社28日报道，俄军工综合体消息人士27日表示，在托木斯克试验场的飞行测试中，“食肉动物”无人机进行了使用武器系统的试验，包括打击武器和发射捕捉网拦截其他无人机。,俄罗斯,“食肉动物”无人机
3321,俄罗斯regnum通讯社28日报道称，“食肉动物”无人机翼展长约5米，最大重量约40千克，有效载荷可达20千克，在空中飞行时最大时速150公里，最大高度为4000米，滞空时间为10至15个小时。除了配备武器系统外，它还可携带高分辨率光电侦察系统、雷达等。其另外一个重要特点是拥有极强的抗干扰能力，即使受到强烈的电子干扰，也能在失去遥控的情况下在自动状态下完成任务。在人工控制状态下无人机活动半径为150公里，而在自动状态下活动半径为500公里。去年12月中旬，该型无人机进行首次飞行试验。塔斯社称，在结束工厂试验后，俄罗斯还计划对“食肉动物”进行实战条件下的测试。,“食肉动物”无人机,武器系统
3322,“食肉动物”无人机在执行摧毁地面目标任务时，携带的空中侦察和监视设备可以探测到敌人的火力发射点，机载计算机系统可以计算出轰炸点和角度，之后降至最适合的高度对地面目标实施打击。这款无人机还可用于保护核电站和军事基地等重要设施。无人机携带的捕捉网被放置在货舱中，在发现敌无人机后，便可撒出捕捉网抓住敌方无人机，并将其迫降到地面。,“食肉动物”无人机,核电站和军事基地
3323,俄专家表示，俄罗斯目前越来越重视无人机的研发工作。俄国防部部长绍伊古去年12月在俄国防部年度部务委员会上表示，俄军每年将接收超过300架中小型无人机。同时，受俄军在叙利亚作战经验的启发，俄军也十分重视发展反无人机系统，如何应对敌方小型无人机也被写入俄军作战条令。 ▲（柳直）,俄军,300架中小型无人机
3325,美国“国土防御雷达”部署效果图,美国,“国土防御雷达”
3326,【环球时报综合报道】日本《读卖新闻》网站28日报道称，为加强对洲际弹道导弹的拦截能力，应对中国、俄罗斯和朝鲜的威胁，美国有意在日本部署大型反导防御雷达。熟悉美日关系的消息人士透露，美国将很快通知日本政府，并就配备新雷达事项与日本开始谈判。,美国,大型反导防御雷达
3327,《读卖新闻》称，美国政府希望在日本部署的是洛克希德·马丁公司的“国土防御雷达”（HDR-H）。这种雷达此前仅计划部署于美国本土、夏威夷和关岛等地。该型雷达除了可以监视和防御西太平洋沿岸国家发射的弹道导弹，还可用来监控反卫星武器和空间碎片等。,美国政府,“国土防御雷达”（HDR-H）
3328,报道称，美国计划2023年在夏威夷配备HDR雷达并开始运营，并计划2025年在日本完成配备，与部署在夏威夷的雷达配合，共同发挥监视作用。此外，美方部署在日本的HDR雷达预计将和自卫队共享情报。,美国,HDR雷达
3329,部署在韩国的“萨德”反导系统发射阵地,韩国,“萨德”反导系统发射阵地
